nivel,relacion,n,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,nota
localidad_total_2018_2025,VIF casos vs lesiones casos,20,0.9694889970832571,1.9482469415101225e-12,0.9849624060150375,3.5364320020841246e-15,0.9368421052631579,1.3686946653867177e-13,"20 localidades, agregadas 2018-2025"
localidad_total_2018_2025,VIF casos vs SPA casos,20,0.7621485833217642,9.393049691574747e-05,0.8180451127819548,1.0505529225549338e-05,0.6421052631578947,2.506940245978939e-05,"20 localidades, agregadas 2018-2025"
localidad_total_2018_2025,Lesiones casos vs SPA casos,20,0.7966435623682069,2.628508524394596e-05,0.837593984962406,4.07449000885905e-06,0.6842105263157895,5.104709679217094e-06,"20 localidades, agregadas 2018-2025"
localidad_total_2018_2025,VIF tasa vs lesiones tasa,20,0.952072210444888,1.0644826893078226e-10,0.7969924812030074,2.5917474294045437e-05,0.6105263157894737,7.321900416351607e-05,"20 localidades, agregadas 2018-2025"
localidad_total_2018_2025,VIF tasa vs SPA tasa,20,0.930503749209747,2.785715270941291e-09,0.7338345864661654,0.0002306890933683326,0.5894736842105264,0.00014216492337970727,"20 localidades, agregadas 2018-2025"
localidad_total_2018_2025,Lesiones tasa vs SPA tasa,20,0.9630790902348662,1.0588208832405922e-11,0.882706766917293,2.5881473879186194e-07,0.7473684210526316,3.0521052671846353e-07,"20 localidades, agregadas 2018-2025"
localidad_anio_2018_2025,VIF casos vs lesiones casos,160,0.8975249384808925,4.611835018868967e-58,0.9153425434705961,2.6475185290993492e-64,0.7595813542924953,5.031232722058106e-46,160 observaciones localidad-año
localidad_anio_2018_2025,VIF casos vs SPA casos,160,0.4862966259270024,7.067613651965139e-11,0.6470586513817129,2.3757800448129828e-20,0.46814727382679217,1.7509538919410307e-18,160 observaciones localidad-año
localidad_anio_2018_2025,Lesiones casos vs SPA casos,160,0.4616216673839633,8.05398660058237e-10,0.6021100066580336,3.7116862345974327e-17,0.43793329425029404,2.319674126474743e-16,160 observaciones localidad-año
localidad_anio_2018_2025,VIF tasa vs lesiones tasa,160,0.6344493422566739,2.1124691889476458e-19,0.6846569830224695,1.826874536142045e-23,0.5017306544161513,4.918656996743438e-21,160 observaciones localidad-año
localidad_anio_2018_2025,VIF tasa vs SPA tasa,160,0.5293493328609495,6.175765616625737e-13,0.47061167419454686,3.393955989781196e-10,0.3334906866543728,3.98122957522046e-10,160 observaciones localidad-año
localidad_anio_2018_2025,Lesiones tasa vs SPA tasa,160,0.7295880361628053,7.3115683533539735e-28,0.5558128973660309,2.3629886144116766e-14,0.4042804324419924,3.419941780150549e-14,160 observaciones localidad-año
sin_los_martires_santa_fe_la_candelaria,VIF tasa vs lesiones tasa,17,0.7020888891511626,0.0016782234047591487,0.6715686274509804,0.00315573053211055,0.4705882352941176,0.007921135981245789,Sensibilidad excluyendo localidades centrales con población pequeña/flotante
sin_los_martires_santa_fe_la_candelaria,VIF tasa vs SPA tasa,17,0.4620746620373688,0.0618504544136095,0.5661764705882354,0.01782284450915954,0.4264705882352941,0.017119110549244844,Sensibilidad excluyendo localidades centrales con población pequeña/flotante
